"Temp.(K)","Res.(ohms)"
70,17.1564 
75,19.3193 
80,21.4731 
85,23.6181 
90,25.7547 
95,27.8830 
100,30.0032 
105,32.1158 
110,34.2209 
115,36.3187 
120,38.4095 
125,40.4935 
130,42.5709 
135,44.6420 
140,46.7069 
145,48.7659 
150,50.8191 
155,52.8668 
160,54.9091 
165,56.9461 
170,58.9782 
175,61.0053 
180,63.0278 
185,65.0457 
190,67.0592 
195,69.0684 
200,71.0734 
205,73.0745 
210,75.0716 
215,77.0650 
220,79.0546 
225,81.0407 
230,83.0233 
235,85.0026 
240,86.9785 
245,88.9512 
250,90.9207 
255,92.8871 
260,94.8505 
265,96.8109 
270,98.7683 
273.15 ,100.0000 
275,100.7228 
280,102.6745 
285,104.6232 
290,106.5691 
295,108.5121 
300,110.4522 
305,112.3894 
310,114.3237 
315,116.2551 
320,118.1836 
325,120.1093 
330,122.0320 
335,123.9519 
340,125.8689 
345,127.7830 
350,129.6942 
