Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=2.000V
Average			  :,V=-514.7mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,200.00mV
Time interval		  :,8000.00uS

index,CH1_Voltage(mV)
0,800.00
1,800.00
2,800.00
3,800.00
4,1000.00
5,600.00
6,800.00
7,800.00
8,800.00
9,1000.00
10,800.00
11,800.00
12,800.00
13,800.00
14,800.00
15,800.00
16,800.00
17,1000.00
18,800.00
19,1000.00
20,600.00
21,800.00
22,800.00
23,800.00
24,800.00
25,600.00
26,800.00
27,800.00
28,1000.00
29,800.00
30,600.00
31,800.00
32,800.00
33,800.00
34,1000.00
35,800.00
36,800.00
37,800.00
38,800.00
39,1000.00
40,800.00
41,800.00
42,800.00
43,800.00
44,1000.00
45,800.00
46,800.00
47,800.00
48,800.00
49,1000.00
50,600.00
51,800.00
52,800.00
53,800.00
54,1000.00
55,800.00
56,800.00
57,800.00
58,600.00
59,1000.00
60,800.00
61,1000.00
62,1000.00
63,800.00
64,800.00
65,600.00
66,800.00
67,800.00
68,800.00
69,800.00
70,800.00
71,800.00
72,800.00
73,800.00
74,800.00
75,800.00
76,1000.00
77,800.00
78,800.00
79,800.00
80,600.00
81,1000.00
82,800.00
83,800.00
84,1000.00
85,800.00
86,1000.00
87,600.00
88,800.00
89,800.00
90,800.00
91,800.00
92,1000.00
93,800.00
94,1000.00
95,800.00
96,800.00
97,800.00
98,600.00
99,800.00
100,600.00
101,800.00
102,800.00
103,600.00
104,1000.00
105,800.00
106,800.00
107,1000.00
108,800.00
109,800.00
110,1000.00
111,1000.00
112,800.00
113,800.00
114,1000.00
115,800.00
116,1000.00
117,800.00
118,800.00
119,800.00
120,800.00
121,800.00
122,800.00
123,800.00
124,1000.00
125,600.00
126,800.00
127,1000.00
128,800.00
129,1000.00
130,800.00
131,1000.00
132,1000.00
133,800.00
134,800.00
135,800.00
136,1000.00
137,800.00
138,600.00
139,800.00
140,800.00
141,800.00
142,800.00
143,800.00
144,1000.00
145,800.00
146,1000.00
147,800.00
148,600.00
149,800.00
150,800.00
151,800.00
152,800.00
153,800.00
154,800.00
155,800.00
156,1000.00
157,800.00
158,800.00
159,800.00
160,800.00
161,800.00
162,800.00
163,600.00
164,800.00
165,800.00
166,600.00
167,800.00
168,600.00
169,800.00
170,600.00
171,800.00
172,600.00
173,800.00
174,800.00
175,600.00
176,600.00
177,800.00
178,600.00
179,800.00
180,600.00
181,800.00
182,800.00
183,600.00
184,800.00
185,800.00
186,600.00
187,600.00
188,600.00
189,600.00
190,600.00
191,800.00
192,800.00
193,800.00
194,600.00
